supplier_id,supplier_name,contact_email,phone,country,rating,established_year,product_count,has_products,net_sales,units_sold,units_returned,return_amount,low_stock_products,current_stock,return_rate,revenue_share
1001,"Rodriguez, Figueroa and Sanchez",jillrhodes@miller.com,989.608.3863,Vietnam,2.0,1981.0,7,True,2874617.98926,2512.0,1.0,1716.68952,1.0,36686.0,0.0003980891719745223,0.004568239209356116
1002,Blake and Sons,jpeterson@bernard.com,361-855-9407,Canada,1.1,2007.0,3,True,778050.5218400001,1072.0,13.0,13627.928339999999,0.0,45530.0,0.012126865671641791,0.001236449821857703
1003,Arnold Ltd,barbara10@perez.com,664-375-2553,Canada,3.2,2012.0,6,True,2029681.7087400001,2646.0,17.0,6610.8072,2.0,45635.0,0.006424792139077854,0.003225496952645821
1004,"Reid, Ferguson and Sanchez",ogray@hawkins.com,505.964.1395,United States,2.1,2023.0,2,True,423280.83813000005,993.0,23.0,11947.27796,1.0,10171.0,0.023162134944612285,0.0006726626384928301
1005,Wilkerson-Day,josephwright@ryan.org,(353)828-7101x2269,United Kingdom,,2004.0,5,True,2433492.55545,2323.0,10.0,10866.4763,0.0,71893.0,0.004304778303917348,0.003867218583135856
1006,Carlson-Mcdonald,tasha01@dyer.com,346-627-0482,France,3.5,1998.0,4,True,1678671.6859900001,1603.0,9.0,14555.1717,0.0,18067.0,0.0056144728633811605,0.0026676844868523007
1007,"Romero, Gonzalez and Brooks",amberosborne@sellers.com,(443)903-9117x182,Mexico,4.1,1989.0,2,True,230040.8848,842.0,0.0,0.0,0.0,2186.0,0.0,0.00036557267561275404
1008,"Martin, Rose and Obrien",sarahcampos@harris.com,587.213.3150x983,France,2.5,1988.0,7,True,2567953.9592399998,3414.0,29.0,25224.916110000002,2.0,93882.0,0.00849443468072642,0.004080899795468583
1009,Zimmerman Inc,carlosjohnson@jones-young.info,582.399.7376,Mexico,3.4,2021.0,7,True,3254729.00804,3263.0,6.0,5596.38216,0.0,33358.0,0.0018387986515476554,0.005172297928249091
1010,Hopkins LLC,ujenkins@nunez.com,4658133387,Japan,3.6,2018.0,2,True,987575.44577,706.0,7.0,9055.71576,0.0,48111.0,0.009915014164305949,0.0015694192725500993
1011,Ramirez and Sons,ramosmichelle@garcia.com,,United States,2.1,2011.0,7,True,3777284.07766,2867.0,26.0,43181.48313,0.0,96123.0,0.009068712940355772,0.006002723594200069
1012,Galloway LLC,smitchell@cowan.com,243.909.8050,Brazil,4.5,1984.0,3,True,1248957.0474200002,1214.0,4.0,241.09788,0.0,51303.0,0.0032948929159802307,0.0019847974847936023
1013,"Calhoun, Schmidt and Brown",yorkcasey@leonard.biz,793-699-0916,Germany,2.7,1998.0,4,True,941779.1423300001,1375.0,3.0,1721.00175,0.0,30383.0,0.002181818181818182,0.001496641439182392
