product_id,product_name,category,supplier_id,unit_price,weight_kg,is_active,supplier_name,country,rating,supplier_status,inventory_record_count,has_inventory,units_sold,gross_sales,discount_amount,sales_net,units_returned,return_amount,return_count,current_stock,reorder_level_total,low_stock_records,net_sales,net_units,discount_rate,return_rate,reorder_gap_units,stock_to_reorder_ratio,below_reorder_flag,revenue_share
20001,Exclusive radical initiative,Apparel,1131,509.94,67.78,Y,"Proctor, Burton and Crawford",United Kingdom,3.0,Valid,3,True,308.0,114226.56,4798.025460000001,109428.53454,0.0,0.0,0.0,1592.0,152.0,0.0,109428.53454,308.0,0.04200446428571429,0.0,1440.0,10.473684210526315,False,0.00017345325739995295
20002,Decentralized discrete interface,Industrial Equipment,1027,672.62,69.9,Y,Combs PLC,France,4.5,Valid,0,False,272.0,170172.86000000002,20578.8089,149594.0511,0.0,0.0,0.0,0.0,0.0,0.0,149594.0511,272.0,0.1209288537549407,0.0,0.0,,False,0.00023711891564686232
20003,Up-sized modular focus group,Pharmaceuticals,1246,523.8,72.72,N,Robles-Brewer,Australia,1.6,Valid,4,True,512.0,257709.6,26996.652000000002,230712.948,0.0,0.0,0.0,7843.0,515.0,0.0,230712.948,512.0,0.10475609756097562,0.0,7328.0,15.229126213592233,False,0.000365699061247302
20004,Virtual transitional throughput,Sporting Goods,1061,1867.7,55.67,Y,Romero-Collins,United Kingdom,1.4,Valid,1,True,703.0,1139297.0,134552.8434,1004744.1566,0.0,0.0,0.0,67.0,447.0,1.0,1004744.1566,703.0,0.11810163934426231,0.0,-380.0,0.14988814317673377,True,0.0015926024007214897
20005,Reduced optimizing flexibility,Automotive Parts,1283,805.39,42.72,N,"Patel, Bryan and Lam",United Kingdom,4.7,Valid,0,False,332.0,267389.48,27725.550750000002,239663.92925,0.0,0.0,0.0,0.0,0.0,0.0,239663.92925,332.0,0.1036897590361446,0.0,0.0,,False,0.00037988710517263555
20006,Versatile secondary initiative,Sporting Goods,1239,248.32,25.65,Y,Garza-Marquez,Australia,3.9,Valid,1,True,649.0,150481.92,24033.89952,126448.02047999999,4.0,842.30144,1.0,89.0,465.0,1.0,125605.71904,645.0,0.1597128712871287,0.0061633281972265025,-376.0,0.1913978494623656,True,0.00019909542979018398
20007,Multi-channeled methodical secured line,Groceries,1289,,44.29,N,Hernandez-Nash,France,2.8,Valid,3,True,404.0,0.0,0.0,0.0,0.0,0.0,0.0,14502.0,713.0,0.0,0.0,404.0,,0.0,13789.0,20.339410939691444,False,0.0
20008,Robust impactful matrix,Furniture,1079,492.09,66.68,N,Jones-Brown,China,3.4,Valid,2,True,505.0,240139.91999999998,26603.36958,213536.55042,0.0,0.0,0.0,4408.0,533.0,0.0,213536.55042,505.0,0.1107827868852459,0.0,3875.0,8.27016885553471,False,0.0003384730536691906
20009,Profound even-keeled circuit,Sporting Goods,1132,1908.87,51.35,,Morris Group,China,4.6,Valid,1,True,648.0,1147230.87,121909.98255,1025320.88745,0.0,0.0,0.0,598.0,82.0,0.0,1025320.88745,648.0,0.10626455906821962,0.0,516.0,7.2926829268292686,False,0.0016252182171315136
20010,Visionary logistical benchmark,Office Supplies,1181,424.83,73.36,Y,Santiago and Sons,India,1.8,Valid,3,True,406.0,172480.97999999998,21891.06507,150589.91493,10.0,4091.1129,2.0,22699.0,707.0,0.0,146498.80203,396.0,0.12691871921182268,0.024630541871921183,21992.0,32.106082036775106,False,0.0002322126904478085
20011,Decentralized eco-centric matrix,Apparel,1269,86.49,53.47,Y,Brown-Shea,Japan,1.0,Valid,3,True,424.0,33558.12,3844.30752,29713.81248,0.0,0.0,0.0,6498.0,658.0,0.0,29713.81248,424.0,0.11455670103092783,0.0,5840.0,9.875379939209726,False,4.7098844794850294e-05
20012,Proactive discrete product,Electronics,1035,1768.51,36.51,N,Hall Ltd,Canada,3.4,Valid,3,True,499.0,882486.49,58601.34736,823885.14264,0.0,0.0,0.0,20236.0,764.0,1.0,823885.14264,499.0,0.06640480961923848,0.0,19472.0,26.486910994764397,True,0.001305925938924969
20013,Devolved 4thgeneration attitude,Office Supplies,1250,41.3,1.0,N,"Wilson, Hernandez and Hill",Brazil,3.2,Valid,4,True,471.0,17800.3,1162.6363000000001,16637.6637,3.0,98.8722,1.0,28388.0,769.0,0.0,16538.7915,468.0,0.0653155452436195,0.006369426751592357,27619.0,36.91547464239272,False,2.6215349325408724e-05
20014,User-centric actuating architecture,Toys,1009,1256.54,72.79,N,Zimmerman Inc,Mexico,3.4,Valid,1,True,392.0,437275.92,47342.65758,389933.26242,0.0,0.0,0.0,468.0,43.0,0.0,389933.26242,392.0,0.10826724137931035,0.0,425.0,10.883720930232558,False,0.0006180763986254116
20015,Proactive systematic algorithm,Office Supplies,1124,481.45,28.39,N,"Blankenship, Khan and Turner",India,4.5,Valid,3,True,367.0,176692.15,17795.3549,158896.7951,0.0,0.0,0.0,10983.0,1308.0,0.0,158896.7951,367.0,0.10071389645776566,0.0,9675.0,8.396788990825687,False,0.00025186453255876605
20016,Enhanced homogeneous portal,Furniture,1236,1413.38,66.25,Y,"Banks, White and Hughes",India,4.5,Valid,1,True,386.0,524363.98,62592.94668,461771.03332,0.0,0.0,0.0,553.0,490.0,0.0,461771.03332,386.0,0.11936927223719677,0.0,63.0,1.1285714285714286,False,0.000731945193627887
20017,Synergistic fresh-thinking collaboration,Toys,1048,1014.39,,N,"Turner, Ortiz and Taylor",Germany,,Valid,5,True,330.0,265770.18,23863.52475,241906.65525,0.0,0.0,0.0,34981.0,1368.0,1.0,241906.65525,330.0,0.08979007633587786,0.0,33613.0,25.570906432748536,True,0.0003834420109546679
20018,Innovative regional process improvement,Pharmaceuticals,1223,1612.98,68.64,Y,Jackson and Sons,China,1.2,Valid,0,False,265.0,404857.98,31098.254399999998,373759.7256,0.0,0.0,0.0,0.0,0.0,0.0,373759.7256,265.0,0.07681274900398406,0.0,0.0,,False,0.0005924400081089909
20019,Cross-platform well-modulated archive,Industrial Equipment,1118,530.12,3.77,Y,Tucker PLC,India,4.5,Valid,1,True,339.0,168578.16,21072.80012,147505.35988,0.0,0.0,0.0,4387.0,427.0,0.0,147505.35988,339.0,0.12500314465408804,0.0,3960.0,10.274004683840749,False,0.00023380816770223684
20020,Switchable web-enabled model,Pharmaceuticals,1092,,16.61,N,"Walker, Bernard and Mendoza",Japan,1.5,Valid,2,True,522.0,0.0,0.0,0.0,0.0,0.0,0.0,8779.0,457.0,0.0,0.0,522.0,,0.0,8322.0,19.210065645514224,False,0.0
20021,Visionary modular utilization,Industrial Equipment,1040,749.59,66.78,N,Barton-Dickerson,Germany,3.8,Valid,1,True,405.0,266854.04,31753.38199,235100.65800999998,0.0,0.0,0.0,872.0,142.0,0.0,235100.65800999998,405.0,0.11899157303370789,0.0,730.0,6.140845070422535,False,0.0003726539436914481
20022,Persistent dedicated frame,Groceries,1197,1889.51,55.16,N,"Hall, Logan and Avery",India,3.0,Valid,2,True,417.0,784146.65,110496.65529,673649.99471,0.0,0.0,0.0,6889.0,584.0,0.0,673649.99471,417.0,0.14091325301204818,0.0,6305.0,11.79623287671233,False,0.0010677908318985935
20023,Switchable modular matrix,Furniture,1028,246.02,27.28,N,David-Gonzalez,United Kingdom,1.4,Valid,2,True,451.0,110709.0,5942.6131000000005,104766.3869,0.0,0.0,0.0,2040.0,700.0,1.0,104766.3869,451.0,0.05367777777777778,0.0,1340.0,2.914285714285714,True,0.0001660633686653843
